,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,[],"[[2, 3001, 1]]","[[3, 3002, 2002, 3001, 1], [3, 3002, 2001, 3001, 1]]","[[4, 3002, 2002, 3001, 1], [4, 3002, 2001, 3001, 1]]",[],[],[],[],[],[],[],[],[],[],[],[]
2,"[[1, 3001, 2]]",[],"[[3, 3002, 2002, 3001, 2], [3, 3002, 2001, 3001, 2]]","[[4, 3002, 2002, 3001, 2], [4, 3002, 2001, 3001, 2]]",[],[],[],[],[],[],[],[],[],[],[],[]
3,"[[1, 3001, 2001, 3002, 3], [1, 3001, 2002, 3002, 3]]","[[2, 3001, 2001, 3002, 3], [2, 3001, 2002, 3002, 3]]",[],"[[4, 3002, 3]]",[],[],[],[],[],[],[],[],[],[],[],[]
4,"[[1, 3001, 2001, 3002, 4], [1, 3001, 2002, 3002, 4]]","[[2, 3001, 2001, 3002, 4], [2, 3001, 2002, 3002, 4]]","[[3, 3002, 4]]",[],[],[],[],[],[],[],[],[],[],[],[],[]
5,[],[],[],[],[],"[[6, 3003, 5]]","[[7, 3004, 2003, 3003, 5], [7, 3004, 2004, 3003, 5]]","[[8, 3004, 2003, 3003, 5], [8, 3004, 2004, 3003, 5]]",[],[],[],[],[],[],[],[]
6,[],[],[],[],"[[5, 3003, 6]]",[],"[[7, 3004, 2003, 3003, 6], [7, 3004, 2004, 3003, 6]]","[[8, 3004, 2003, 3003, 6], [8, 3004, 2004, 3003, 6]]",[],[],[],[],[],[],[],[]
7,[],[],[],[],"[[5, 3003, 2003, 3004, 7], [5, 3003, 2004, 3004, 7]]","[[6, 3003, 2003, 3004, 7], [6, 3003, 2004, 3004, 7]]",[],"[[8, 3004, 7]]",[],[],[],[],[],[],[],[]
8,[],[],[],[],"[[5, 3003, 2003, 3004, 8], [5, 3003, 2004, 3004, 8]]","[[6, 3003, 2003, 3004, 8], [6, 3003, 2004, 3004, 8]]","[[7, 3004, 8]]",[],[],[],[],[],[],[],[],[]
9,[],[],[],[],[],[],[],[],[],"[[10, 3005, 9]]","[[11, 3006, 2005, 3005, 9], [11, 3006, 2006, 3005, 9]]","[[12, 3006, 2005, 3005, 9], [12, 3006, 2006, 3005, 9]]",[],[],[],[]
10,[],[],[],[],[],[],[],[],"[[9, 3005, 10]]",[],"[[11, 3006, 2005, 3005, 10], [11, 3006, 2006, 3005, 10]]","[[12, 3006, 2005, 3005, 10], [12, 3006, 2006, 3005, 10]]",[],[],[],[]
11,[],[],[],[],[],[],[],[],"[[9, 3005, 2005, 3006, 11], [9, 3005, 2006, 3006, 11]]","[[10, 3005, 2005, 3006, 11], [10, 3005, 2006, 3006, 11]]",[],"[[12, 3006, 11]]",[],[],[],[]
12,[],[],[],[],[],[],[],[],"[[9, 3005, 2005, 3006, 12], [9, 3005, 2006, 3006, 12]]","[[10, 3005, 2005, 3006, 12], [10, 3005, 2006, 3006, 12]]","[[11, 3006, 12]]",[],[],[],[],[]
13,[],[],[],[],[],[],[],[],[],[],[],[],[],"[[14, 3007, 13]]","[[15, 3008, 2008, 3007, 13], [15, 3008, 2007, 3007, 13]]","[[16, 3008, 2008, 3007, 13], [16, 3008, 2007, 3007, 13]]"
14,[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 3007, 14]]",[],"[[15, 3008, 2008, 3007, 14], [15, 3008, 2007, 3007, 14]]","[[16, 3008, 2008, 3007, 14], [16, 3008, 2007, 3007, 14]]"
15,[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 3007, 2008, 3008, 15], [13, 3007, 2007, 3008, 15]]","[[14, 3007, 2008, 3008, 15], [14, 3007, 2007, 3008, 15]]",[],"[[16, 3008, 15]]"
16,[],[],[],[],[],[],[],[],[],[],[],[],"[[13, 3007, 2008, 3008, 16], [13, 3007, 2007, 3008, 16]]","[[14, 3007, 2008, 3008, 16], [14, 3007, 2007, 3008, 16]]","[[15, 3008, 16]]",[]
